model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize
x6,2018-01-01,40092,semi-auto,11637,diesel,145,44.8,3.0
x2,2019-01-01,28266,semi-auto,2367,petrol,145,39.2,2.0
4 series,2019-01-01,32170,automatic,3000,petrol,145,41.5,3.0
x1,2019-01-01,30850,semi-auto,7778,diesel,145,50.4,2.0
x3,2019-01-01,42830,automatic,8911,diesel,145,36.7,3.0
1 series,2017-01-01,19548,manual,20485,petrol,145,36.2,3.0
1 series,2015-01-01,11209,manual,41372,diesel,20,72.4,1.5
x2,2019-01-01,33520,semi-auto,3235,petrol,145,34.0,2.0
x4,2019-01-01,37540,automatic,4002,diesel,145,42.8,2.0
2 series,2019-01-01,23920,manual,3156,diesel,145,60.1,2.0
4 series,2019-01-01,28970,semi-auto,5402,diesel,145,60.1,2.0
3 series,2016-01-01,16892,semi-auto,24435,diesel,30,64.2,2.0
4 series,2019-01-01,26352,semi-auto,3334,diesel,145,65.7,2.0
x4,2019-01-01,39263,semi-auto,6170,diesel,145,40.9,3.0
6 series,2019-01-01,34442,semi-auto,16935,diesel,145,47.9,3.0
x1,2017-01-01,17491,manual,25818,diesel,125,60.1,2.0
2 series,2018-01-01,17722,manual,19571,petrol,145,52.3,1.5
2 series,2020-01-01,35440,semi-auto,600,petrol,145,36.2,2.0
x2,2019-01-01,28955,semi-auto,5313,diesel,145,48.7,2.0
x3,2019-01-01,57680,automatic,1405,petrol,145,24.8,3.0
x7,2019-01-01,67120,automatic,10,diesel,145,33.6,3.0
3 series,2019-01-01,27596,automatic,12608,diesel,145,52.3,2.0
1 series,2019-01-01,24600,semi-auto,7072,petrol,145,40.4,1.5
3 series,2019-01-01,39600,automatic,10850,diesel,145,43.5,3.0
2 series,2019-01-01,25460,semi-auto,5440,diesel,145,60.1,2.0
5 series,2019-01-01,36380,automatic,5799,diesel,145,53.3,3.0
3 series,2019-01-01,26580,semi-auto,13216,diesel,145,60.1,2.0
2 series,2019-01-01,19880,semi-auto,7916,diesel,145,51.4,2.0
5 series,2017-01-01,16202,semi-auto,52590,diesel,125,60.1,2.0
x1,2017-01-01,16514,automatic,60792,diesel,145,55.4,2.0
x5,2016-01-01,31362,automatic,34356,diesel,200,47.1,3.0
x4,2019-01-01,42460,automatic,2188,petrol,145,26.9,3.0
5 series,2019-01-01,38050,semi-auto,2269,diesel,145,51.4,3.0
4 series,2019-01-01,27990,semi-auto,1000,diesel,145,56.5,3.0
x5,2019-01-01,49990,semi-auto,751,petrol,145,27.2,3.0
x3,2016-01-01,20990,semi-auto,32040,diesel,145,54.3,2.0
4 series,2020-01-01,30137,semi-auto,16,diesel,150,60.1,2.0
2 series,2019-01-01,21773,automatic,123,diesel,145,49.6,2.0
1 series,2019-01-01,20600,automatic,143,diesel,145,70.6,2.0
2 series,2019-01-01,21773,automatic,123,diesel,145,49.6,2.0
2 series,2019-01-01,20638,manual,123,diesel,145,51.4,2.0
2 series,2019-01-01,20638,manual,123,diesel,145,51.4,2.0
2 series,2019-01-01,22773,automatic,153,diesel,145,49.6,2.0
x4,2017-01-01,22973,semi-auto,46363,diesel,145,54.3,2.0
5 series,2017-01-01,21995,automatic,18820,diesel,145,65.7,2.0
x1,2016-01-01,15500,semi-auto,52061,diesel,30,65.7,2.0
1 series,2019-01-01,25976,manual,1357,diesel,145,53.3,2.0
x2,2019-01-01,28150,semi-auto,6950,diesel,145,58.9,2.0
x4,2019-01-01,37990,automatic,8526,diesel,145,40.9,3.0
2 series,2019-01-01,21600,semi-auto,5000,diesel,145,48.7,2.0
5 series,2019-01-01,26566,automatic,6384,diesel,145,62.8,2.0
2 series,2019-01-01,21460,manual,7710,diesel,145,60.1,2.0
1 series,2014-01-01,9352,manual,63669,diesel,20,68.9,2.0
x7,2019-01-01,76970,semi-auto,10,diesel,145,31.4,3.0
2 series,2020-01-01,23380,semi-auto,666,diesel,145,51.4,2.0
m4,2020-01-01,48630,semi-auto,99,petrol,145,34.0,3.0
4 series,2018-01-01,21792,automatic,9807,diesel,145,65.7,2.0
3 series,2019-01-01,28013,semi-auto,7165,petrol,145,41.5,2.0
x3,2019-01-01,34222,semi-auto,2973,petrol,145,30.4,2.0
2 series,2019-01-01,21990,semi-auto,2500,petrol,145,39.2,1.5
4 series,2019-01-01,24990,semi-auto,1000,petrol,145,48.7,2.0
x3,2016-01-01,18995,semi-auto,34274,diesel,145,54.3,2.0
x3,2017-01-01,26692,automatic,18673,diesel,145,47.1,3.0
4 series,2019-01-01,31175,manual,123,petrol,145,46.3,2.0
4 series,2019-01-01,31356,automatic,123,petrol,145,48.7,2.0
1 series,2017-01-01,15500,manual,53248,diesel,145,65.7,2.0
3 series,2014-01-01,18000,automatic,67455,diesel,160,50.4,3.0
1 series,2016-01-01,12965,automatic,23899,petrol,30,58.9,1.5
1 series,2013-01-01,10965,automatic,37808,diesel,30,64.2,2.0
3 series,2019-01-01,19965,semi-auto,14153,diesel,145,64.2,2.0
x1,2016-01-01,17498,manual,19060,diesel,125,58.9,2.0
x1,2016-01-01,17367,manual,18361,diesel,125,58.9,2.0
x1,2019-01-01,24790,automatic,3414,petrol,145,37.7,2.0
2 series,2019-01-01,24240,semi-auto,1415,diesel,145,49.6,2.0
x3,2015-01-01,16680,semi-auto,70864,diesel,150,54.3,2.0
1 series,2017-01-01,12390,semi-auto,42852,diesel,20,72.4,1.5
5 series,2016-01-01,14890,semi-auto,29840,diesel,30,65.7,2.0
1 series,2019-01-01,22990,manual,5023,diesel,145,53.3,2.0
2 series,2019-01-01,18260,manual,5328,petrol,145,44.1,1.5
1 series,2019-01-01,24990,automatic,8458,diesel,145,51.4,2.0
x6,2019-01-01,55990,automatic,6222,diesel,145,34.9,3.0
4 series,2019-01-01,22810,automatic,5984,petrol,145,48.7,2.0
2 series,2019-01-01,21390,automatic,14380,diesel,145,47.1,2.0
2 series,2019-01-01,19850,automatic,10649,diesel,145,49.6,2.0
4 series,2019-01-01,26820,semi-auto,8598,diesel,145,60.1,2.0
3 series,2019-01-01,27770,semi-auto,4050,diesel,145,60.1,2.0
3 series,2013-01-01,8480,manual,48681,petrol,150,47.9,1.6
x1,2016-01-01,17490,manual,20516,diesel,125,58.9,2.0
1 series,2017-01-01,17160,automatic,26213,petrol,145,47.9,2.0
2 series,2017-01-01,16491,semi-auto,22080,petrol,145,48.7,2.0
4 series,2019-01-01,25910,semi-auto,5029,petrol,145,48.7,2.0
x1,2019-01-01,27380,semi-auto,1940,diesel,145,65.7,2.0
x6,2019-01-01,64690,automatic,3000,petrol,145,26.4,3.0
m2,2019-01-01,48200,automatic,1500,petrol,145,29.1,3.0
x6,2019-01-01,68522,semi-auto,11330,diesel,145,33.2,3.0
3 series,2019-01-01,25560,semi-auto,3000,diesel,145,62.8,2.0
5 series,2019-01-01,30570,automatic,3067,hybrid,145,49.6,2.0
x2,2019-01-01,32690,semi-auto,3000,diesel,145,58.9,2.0
3 series,2019-01-01,27998,semi-auto,11658,diesel,150,48.7,2.0
1 series,2017-01-01,20500,semi-auto,25190,petrol,145,39.8,3.0
1 series,2017-01-01,21995,semi-auto,23000,petrol,145,39.8,3.0
1 series,2017-01-01,20998,semi-auto,14992,petrol,145,39.8,3.0
3 series,2015-01-01,16365,semi-auto,48812,diesel,160,51.4,3.0
4 series,2019-01-01,20995,automatic,6004,diesel,145,65.7,2.0
x6,2013-01-01,15380,semi-auto,71522,diesel,300,38.2,3.0
3 series,2017-01-01,14691,semi-auto,38326,petrol,145,51.4,2.0
1 series,2014-01-01,9491,manual,25174,diesel,20,68.9,2.0
3 series,2016-01-01,10591,manual,62674,diesel,20,72.4,2.0
2 series,2018-01-01,15700,manual,6889,petrol,145,57.6,1.5
3 series,2016-01-01,12207,automatic,55293,diesel,20,74.3,2.0
3 series,2017-01-01,14430,manual,26818,petrol,145,49.6,1.5
3 series,2017-01-01,19645,semi-auto,27900,diesel,150,64.2,2.0
3 series,2018-01-01,19765,semi-auto,24965,petrol,145,48.7,2.0
3 series,2015-01-01,12245,semi-auto,27721,diesel,30,64.2,2.0
1 series,2016-01-01,10950,manual,30341,diesel,20,72.4,1.5
1 series,2013-01-01,6491,manual,73000,diesel,0,74.3,1.6
2 series,2017-01-01,15991,semi-auto,12887,petrol,145,55.4,1.5
2 series,2014-01-01,13342,manual,36849,petrol,160,44.8,2.0
5 series,2018-01-01,28000,semi-auto,25411,diesel,145,60.1,3.0
3 series,2014-01-01,10100,manual,41738,diesel,30,62.8,2.0
x6,2020-01-01,65352,semi-auto,3158,petrol,145,26.4,3.0
x2,2019-01-01,31084,semi-auto,3096,petrol,145,36.2,2.0
4 series,2018-01-01,18210,manual,17672,petrol,145,46.3,2.0
4 series,2016-01-01,19000,manual,10267,petrol,200,43.5,2.0
x1,2016-01-01,17770,semi-auto,34290,diesel,125,57.6,2.0
x1,2019-01-01,19980,manual,7113,petrol,145,51.4,1.5
1 series,2017-01-01,20750,semi-auto,16977,petrol,200,39.8,3.0
5 series,2016-01-01,13465,semi-auto,71203,diesel,125,60.1,2.0
1 series,2016-01-01,13998,semi-auto,35441,diesel,30,65.7,2.0
3 series,2017-01-01,14498,manual,24719,diesel,150,67.3,2.0
3 series,2019-01-01,24998,semi-auto,13957,diesel,150,52.3,2.0
x1,2016-01-01,16000,manual,37201,diesel,125,58.9,2.0
3 series,2017-01-01,17998,semi-auto,24253,diesel,150,64.2,2.0
1 series,2015-01-01,12998,semi-auto,32435,diesel,20,68.9,1.5
2 series,2015-01-01,16342,semi-auto,31383,petrol,160,47.1,2.0
x1,2014-01-01,10872,manual,50716,diesel,160,51.4,2.0
4 series,2016-01-01,19642,semi-auto,23575,diesel,125,60.1,2.0
7 series,2017-01-01,33682,semi-auto,6431,diesel,145,54.3,3.0
3 series,2013-01-01,14612,automatic,41114,diesel,125,57.6,3.0
4 series,2015-01-01,18272,semi-auto,33864,diesel,125,60.1,2.0
2 series,2017-01-01,19212,automatic,13301,diesel,145,57.7,2.0
3 series,2014-01-01,11520,manual,62828,diesel,125,61.4,2.0
3 series,2014-01-01,11128,manual,67232,diesel,125,57.6,2.0
1 series,2015-01-01,9681,manual,40176,petrol,145,50.4,1.6
1 series,2017-01-01,12290,manual,31268,diesel,150,72.4,1.5
2 series,2016-01-01,16322,semi-auto,47254,diesel,125,61.4,2.0
5 series,2018-01-01,27750,automatic,24460,diesel,145,60.1,3.0
x4,2019-01-01,42412,semi-auto,3414,diesel,145,37.2,3.0
m3,2017-01-01,37572,semi-auto,30573,petrol,300,34.0,3.0
3 series,2018-01-01,20732,semi-auto,7856,diesel,145,64.2,2.0
x3,2018-01-01,29022,automatic,6716,diesel,145,56.5,2.0
x5,2016-01-01,33522,automatic,51536,diesel,235,42.8,3.0
1 series,2019-01-01,31723,semi-auto,1129,diesel,145,60.1,2.0
5 series,2018-01-01,28992,automatic,19625,diesel,145,53.3,3.0
4 series,2016-01-01,17782,semi-auto,34942,diesel,30,65.7,2.0
2 series,2016-01-01,10242,manual,51577,petrol,30,57.6,1.5
x1,2017-01-01,17621,semi-auto,27531,diesel,30,65.7,2.0
1 series,2018-01-01,14012,manual,17143,petrol,150,38.7,1.5
5 series,2019-01-01,27241,semi-auto,7657,hybrid,150,49.6,2.0
x5,2016-01-01,31581,automatic,7658,diesel,205,47.1,3.0
6 series,2016-01-01,19916,automatic,43525,diesel,160,51.4,3.0
3 series,2019-01-01,22780,semi-auto,11944,petrol,145,44.8,2.0
8 series,2019-01-01,88980,semi-auto,88,petrol,145,24.4,4.4
4 series,2019-01-01,22446,automatic,10164,diesel,145,65.7,2.0
4 series,2019-01-01,24016,automatic,4349,diesel,145,60.1,2.0
3 series,2017-01-01,19836,automatic,28411,diesel,145,51.4,3.0
2 series,2017-01-01,15582,semi-auto,10556,diesel,20,68.9,2.0
2 series,2016-01-01,15342,manual,37828,petrol,205,42.8,2.0
2 series,2019-01-01,26830,semi-auto,4789,petrol,145,46.3,2.0
3 series,2019-01-01,37980,semi-auto,3078,petrol,145,34.9,3.0
4 series,2019-01-01,22380,semi-auto,9846,diesel,145,65.7,2.0
x5,2019-01-01,44980,semi-auto,7383,diesel,145,37.7,3.0
1 series,2017-01-01,16980,manual,24985,diesel,145,70.6,1.5
2 series,2019-01-01,23980,semi-auto,8452,diesel,145,61.4,2.0
7 series,2019-01-01,47980,automatic,339,petrol,145,34.5,3.0
1 series,2018-01-01,18480,semi-auto,17402,petrol,145,47.9,2.0
3 series,2019-01-01,27280,semi-auto,7311,petrol,145,42.2,2.0
x1,2019-01-01,26280,semi-auto,3646,petrol,145,48.7,2.0
2 series,2019-01-01,18980,manual,5500,petrol,145,42.8,1.5
x3,2019-01-01,35480,semi-auto,9000,diesel,145,54.3,2.0
1 series,2019-01-01,17250,manual,6824,petrol,145,53.3,1.5
1 series,2019-01-01,17250,manual,4028,petrol,145,53.3,1.5
1 series,2019-01-01,17250,manual,4122,petrol,145,53.3,1.5
1 series,2019-01-01,17250,manual,11699,petrol,145,53.3,1.5
3 series,2019-01-01,25780,semi-auto,7004,petrol,145,45.6,2.0
5 series,2019-01-01,26480,semi-auto,5130,diesel,145,65.7,2.0
2 series,2019-01-01,18980,semi-auto,5992,petrol,145,50.4,2.0
3 series,2019-01-01,40980,semi-auto,6250,diesel,145,43.5,3.0
4 series,2019-01-01,25780,semi-auto,9326,diesel,145,65.7,2.0
4 series,2019-01-01,25480,semi-auto,8042,diesel,145,65.7,2.0
3 series,2017-01-01,19480,semi-auto,17610,petrol,145,48.7,2.0
x3,2019-01-01,30980,automatic,6332,diesel,145,54.3,2.0
1 series,2016-01-01,11980,automatic,25204,petrol,30,58.9,1.5
x1,2017-01-01,17980,semi-auto,53850,diesel,150,57.6,2.0
2 series,2018-01-01,16980,manual,19853,diesel,150,64.2,2.0
3 series,2020-01-01,39950,semi-auto,1204,petrol,150,33.6,3.0
4 series,2016-01-01,15980,semi-auto,66037,diesel,30,65.7,2.0
x7,2019-01-01,74480,automatic,7278,diesel,145,31.4,3.0
x2,2019-01-01,28480,semi-auto,3282,petrol,145,39.8,2.0
2 series,2019-01-01,25780,semi-auto,4418,diesel,150,48.7,2.0
x1,2019-01-01,27280,automatic,5231,petrol,145,48.7,2.0
3 series,2016-01-01,18980,semi-auto,29902,diesel,145,53.3,3.0
x3,2017-01-01,29980,semi-auto,25101,diesel,150,47.9,3.0
x1,2020-01-01,29970,semi-auto,1241,diesel,145,60.1,2.0
1 series,2020-01-01,28790,semi-auto,953,diesel,145,51.4,2.0
1 series,2019-01-01,24280,manual,1947,petrol,145,41.5,1.5
4 series,2017-01-01,20480,semi-auto,26814,diesel,145,55.4,3.0
1 series,2016-01-01,14880,manual,19882,diesel,30,65.7,2.0
4 series,2015-01-01,15480,automatic,50145,petrol,200,43.5,2.0
4 series,2016-01-01,22480,automatic,25742,diesel,145,55.4,3.0
1 series,2017-01-01,15280,automatic,14709,diesel,145,72.4,1.5
4 series,2019-01-01,28170,semi-auto,9647,diesel,145,58.9,2.0
5 series,2017-01-01,22322,semi-auto,42295,diesel,145,60.1,2.0
1 series,2019-01-01,21670,semi-auto,7065,petrol,145,42.8,1.5
1 series,2013-01-01,11200,semi-auto,10239,petrol,145,48.7,1.6
i3,2017-01-01,19980,automatic,26965,hybrid,140,470.8,0.0
x1,2017-01-01,20092,semi-auto,25610,petrol,160,44.8,2.0
2 series,2019-01-01,20190,manual,4648,petrol,145,42.8,1.5
3 series,2019-01-01,32790,automatic,3750,diesel,145,52.3,2.0
z4,2019-01-01,32970,automatic,467,petrol,145,38.7,2.0
2 series,2019-01-01,21205,semi-auto,9148,petrol,145,50.4,1.5
x2,2019-01-01,29325,semi-auto,8859,diesel,145,50.4,2.0
x1,2017-01-01,19832,semi-auto,15242,diesel,145,57.6,2.0
x5,2017-01-01,36980,automatic,18231,diesel,145,42.8,3.0
x1,2015-01-01,14995,manual,39000,diesel,125,58.9,2.0
3 series,2014-01-01,9698,semi-auto,62121,diesel,125,60.1,2.0
x1,2017-01-01,17998,semi-auto,41604,diesel,150,55.4,2.0
1 series,2017-01-01,20498,semi-auto,29319,petrol,200,39.8,3.0
x1,2017-01-01,22698,automatic,3209,petrol,160,44.8,2.0
5 series,2014-01-01,15498,semi-auto,35822,diesel,165,51.4,3.0
x1,2017-01-01,20998,semi-auto,16216,diesel,150,55.4,2.0
x2,2019-01-01,31680,semi-auto,103,diesel,145,58.9,2.0
1 series,2019-01-01,31790,semi-auto,8211,petrol,145,34.5,2.0
1 series,2019-01-01,26413,manual,12262,petrol,145,41.5,1.5
5 series,2019-01-01,32400,semi-auto,7111,diesel,145,55.4,2.0
x1,2019-01-01,24000,semi-auto,5547,diesel,145,47.9,2.0
1 series,2018-01-01,15291,manual,16891,petrol,150,53.3,1.5
x4,2017-01-01,26191,semi-auto,37114,diesel,200,47.9,3.0
3 series,2018-01-01,17899,semi-auto,40500,petrol,145,48.7,2.0
1 series,2016-01-01,16117,manual,25231,petrol,300,35.3,3.0
3 series,2017-01-01,19830,semi-auto,39664,diesel,145,49.6,3.0
1 series,2016-01-01,14017,manual,12670,diesel,20,70.6,1.5
1 series,2017-01-01,16498,manual,16706,diesel,150,62.8,2.0
3 series,2013-01-01,10298,manual,60211,diesel,125,60.1,2.0
2 series,2018-01-01,16998,manual,4302,petrol,145,40.9,1.5
4 series,2018-01-01,20998,semi-auto,18392,diesel,150,65.7,2.0
1 series,2014-01-01,13750,semi-auto,20000,diesel,30,64.2,2.0
3 series,2016-01-01,19250,semi-auto,37679,diesel,150,53.3,3.0
3 series,2015-01-01,18555,semi-auto,51416,diesel,145,53.3,3.0
4 series,2020-01-01,31003,semi-auto,2400,diesel,145,50.4,3.0
4 series,2020-01-01,27003,semi-auto,1816,petrol,145,48.7,2.0
1 series,2014-01-01,8690,manual,51344,diesel,30,65.7,2.0
2 series,2019-01-01,21097,semi-auto,7947,diesel,145,47.1,2.0
1 series,2019-01-01,23997,semi-auto,8423,petrol,145,39.8,3.0
7 series,2019-01-01,49990,semi-auto,5364,diesel,145,44.1,3.0
5 series,2019-01-01,42650,semi-auto,4000,petrol,145,50.4,2.0
m5,2019-01-01,61797,semi-auto,4419,petrol,145,26.9,4.4
x3,2019-01-01,35991,semi-auto,8667,diesel,150,54.3,2.0
1 series,2017-01-01,21490,semi-auto,25954,petrol,150,39.8,3.0
4 series,2015-01-01,15361,manual,43745,diesel,125,60.1,2.0
3 series,2015-01-01,12110,manual,54905,diesel,125,58.9,2.0
3 series,2016-01-01,12180,manual,56763,diesel,20,68.9,2.0
x1,2013-01-01,9527,semi-auto,60973,diesel,145,56.5,2.0
1 series,2017-01-01,19990,automatic,27108,petrol,145,39.8,3.0
3 series,2014-01-01,11491,manual,64021,diesel,125,57.6,2.0
5 series,2017-01-01,27399,semi-auto,23607,diesel,145,51.4,3.0
5 series,2016-01-01,17980,semi-auto,32205,diesel,30,62.8,2.0
x1,2020-01-01,25480,semi-auto,24,diesel,145,60.1,2.0
2 series,2020-01-01,20980,semi-auto,9,petrol,145,50.4,1.5
2 series,2020-01-01,20980,semi-auto,12,petrol,145,50.4,1.5
1 series,2019-01-01,21980,manual,821,diesel,145,72.4,1.5
6 series,2020-01-01,33490,semi-auto,101,petrol,145,42.8,2.0
3 series,2020-01-01,26980,semi-auto,101,diesel,145,62.8,2.0
3 series,2019-01-01,22480,semi-auto,6191,diesel,145,55.4,2.0
1 series,2019-01-01,20980,manual,8617,petrol,145,44.1,1.5
1 series,2019-01-01,17980,semi-auto,8211,diesel,145,74.3,2.0
z4,2019-01-01,31990,semi-auto,9950,petrol,145,38.7,2.0
x2,2020-01-01,28993,semi-auto,101,diesel,145,61.4,2.0
m4,2020-01-01,49623,semi-auto,2024,petrol,145,34.0,3.0
x1,2020-01-01,27493,manual,3609,diesel,145,39.2,2.0
4 series,2019-01-01,28000,semi-auto,6451,diesel,145,58.9,2.0
m4,2019-01-01,44500,semi-auto,5644,petrol,145,34.0,3.0
2 series,2019-01-01,19990,manual,6361,diesel,145,51.4,2.0
3 series,2015-01-01,14391,semi-auto,56262,diesel,30,62.8,2.0
5 series,2018-01-01,23891,semi-auto,23652,diesel,145,48.7,2.0
x3,2019-01-01,30990,semi-auto,20423,petrol,145,30.4,2.0
x2,2019-01-01,31790,semi-auto,4169,petrol,145,34.0,2.0
x3,2020-01-01,36853,semi-auto,2479,diesel,145,54.3,2.0
z4,2020-01-01,34993,semi-auto,3100,petrol,145,38.7,2.0
5 series,2020-01-01,35493,semi-auto,5658,petrol,145,50.4,2.0
3 series,2017-01-01,15890,manual,34588,diesel,145,64.2,2.0
2 series,2018-01-01,20990,semi-auto,13268,petrol,145,47.9,2.0
1 series,2019-01-01,18990,semi-auto,4539,diesel,145,70.6,2.0
3 series,2019-01-01,31990,semi-auto,4893,diesel,145,52.3,2.0
x4,2016-01-01,25041,semi-auto,28480,diesel,200,47.1,3.0
1 series,2016-01-01,15690,semi-auto,26386,diesel,20,67.3,2.0
x1,2017-01-01,21050,semi-auto,18099,diesel,145,57.6,2.0
1 series,2017-01-01,14066,semi-auto,43260,petrol,145,55.5,1.5
3 series,2016-01-01,19581,semi-auto,26949,diesel,160,51.4,3.0
3 series,2015-01-01,16237,semi-auto,37466,diesel,145,56.5,3.0
1 series,2017-01-01,16995,automatic,19654,petrol,145,54.3,1.5
4 series,2019-01-01,24491,semi-auto,6462,diesel,150,58.9,2.0
2 series,2017-01-01,16191,semi-auto,23295,diesel,20,68.9,2.0
x1,2016-01-01,19497,semi-auto,29959,diesel,145,55.4,2.0
x1,2019-01-01,24500,semi-auto,8410,petrol,145,47.9,2.0
5 series,2019-01-01,28991,semi-auto,4636,petrol,145,50.4,2.0
x2,2020-01-01,32403,semi-auto,2580,petrol,145,39.8,2.0
x7,2019-01-01,72430,semi-auto,6391,diesel,145,33.6,3.0
4 series,2014-01-01,13591,manual,73417,diesel,125,57.6,2.0
1 series,2017-01-01,17490,semi-auto,10571,diesel,30,65.7,2.0
3 series,2017-01-01,16490,semi-auto,30835,diesel,145,70.6,2.0
4 series,2015-01-01,16678,semi-auto,37041,diesel,125,57.6,2.0
1 series,2017-01-01,19990,automatic,26841,petrol,145,39.8,3.0
1 series,2018-01-01,17390,semi-auto,11690,diesel,145,45.6,2.0
4 series,2016-01-01,22991,semi-auto,25220,diesel,160,49.6,3.0
x2,2018-01-01,24297,semi-auto,13325,diesel,145,58.9,2.0
x3,2016-01-01,24390,semi-auto,45646,diesel,200,47.1,3.0
4 series,2017-01-01,20217,manual,31959,petrol,145,43.5,2.0
2 series,2019-01-01,21980,automatic,5913,hybrid,135,148.7,1.5
x1,2019-01-01,26480,semi-auto,9027,diesel,145,50.4,2.0
2 series,2019-01-01,25780,semi-auto,2859,diesel,145,48.7,2.0
x5,2019-01-01,49980,semi-auto,5041,diesel,145,37.7,3.0
1 series,2018-01-01,16980,manual,20100,petrol,150,37.2,1.5
1 series,2019-01-01,26980,automatic,1250,petrol,145,40.4,1.5
x3,2014-01-01,19295,semi-auto,18458,diesel,145,54.3,2.0
5 series,2015-01-01,14160,automatic,41075,diesel,30,62.8,2.0
4 series,2015-01-01,13750,manual,34457,petrol,160,44.8,2.0
1 series,2015-01-01,14391,semi-auto,42770,diesel,125,61.4,2.0
x3,2015-01-01,19540,semi-auto,39370,diesel,145,54.3,2.0
3 series,2015-01-01,12217,manual,58943,diesel,125,61.4,2.0
3 series,2016-01-01,19400,semi-auto,19060,diesel,145,53.3,3.0
3 series,2018-01-01,19357,semi-auto,15893,diesel,145,64.2,2.0
1 series,2019-01-01,16980,manual,4905,petrol,145,53.3,1.5
3 series,2019-01-01,26480,semi-auto,5500,petrol,145,42.2,2.0
4 series,2019-01-01,24780,semi-auto,6251,petrol,145,48.7,2.0
3 series,2019-01-01,27780,automatic,4586,diesel,145,52.3,2.0
x1,2019-01-01,25280,semi-auto,6153,petrol,145,35.3,2.0
2 series,2019-01-01,25980,semi-auto,5072,diesel,145,48.7,2.0
4 series,2016-01-01,21280,semi-auto,16635,diesel,160,50.4,3.0
3 series,2018-01-01,22480,semi-auto,18620,diesel,145,62.8,2.0
x1,2018-01-01,22780,semi-auto,11520,petrol,145,37.7,2.0
5 series,2017-01-01,18980,semi-auto,43169,petrol,145,48.7,2.0
3 series,2019-01-01,25780,semi-auto,7254,petrol,150,42.2,2.0
1 series,2018-01-01,15980,manual,19093,diesel,150,50.4,2.0
3 series,2019-01-01,33950,semi-auto,5039,diesel,150,52.3,2.0
x7,2020-01-01,71980,semi-auto,8695,diesel,150,31.4,3.0
2 series,2019-01-01,20450,automatic,6269,petrol,145,50.4,2.0
8 series,2019-01-01,55980,semi-auto,3489,diesel,145,39.8,3.0
1 series,2017-01-01,16990,manual,32000,diesel,30,62.8,2.0
3 series,2018-01-01,18980,semi-auto,19408,diesel,150,65.7,2.0
1 series,2016-01-01,12609,manual,22991,diesel,20,72.4,1.5
1 series,2017-01-01,17894,semi-auto,14684,petrol,145,54.3,1.5
4 series,2015-01-01,17310,semi-auto,31911,diesel,125,57.6,2.0
1 series,2017-01-01,18890,semi-auto,21744,diesel,150,65.7,2.0
3 series,2019-01-01,25940,semi-auto,8646,diesel,150,53.3,2.0
1 series,2019-01-01,20440,semi-auto,3567,petrol,150,47.9,2.0
1 series,2019-01-01,18440,semi-auto,3605,diesel,150,47.9,1.5
3 series,2019-01-01,19750,semi-auto,5888,petrol,150,51.4,1.5
3 series,2019-01-01,25940,semi-auto,7779,diesel,150,53.3,2.0
2 series,2019-01-01,21450,semi-auto,3803,petrol,145,39.2,1.5
x2,2019-01-01,31970,automatic,3740,petrol,145,34.0,2.0
3 series,2019-01-01,24997,semi-auto,6429,diesel,145,64.2,2.0
2 series,2020-01-01,25603,semi-auto,2880,petrol,145,50.4,1.5
2 series,2020-01-01,26883,semi-auto,101,petrol,145,40.9,1.5
3 series,2020-01-01,36693,semi-auto,2725,petrol,145,40.4,2.0
4 series,2016-01-01,21104,semi-auto,36741,petrol,200,41.5,3.0
m5,2019-01-01,58991,semi-auto,16529,petrol,145,26.9,4.4
3 series,2019-01-01,23480,semi-auto,4611,diesel,150,65.7,2.0
8 series,2019-01-01,51980,semi-auto,5529,diesel,150,40.4,3.0
x3,2019-01-01,32480,semi-auto,5495,diesel,145,54.3,2.0
2 series,2019-01-01,21850,automatic,4389,petrol,145,40.9,1.5
1 series,2019-01-01,19980,manual,2557,petrol,145,44.1,1.5
3 series,2019-01-01,28940,automatic,1550,petrol,145,42.2,2.0
2 series,2019-01-01,22480,automatic,105,petrol,145,47.9,2.0
3 series,2017-01-01,19980,semi-auto,10154,diesel,145,56.5,3.0
i8,2019-01-01,67940,automatic,1110,hybrid,135,141.2,1.5
2 series,2018-01-01,18980,manual,12769,petrol,145,52.3,1.5
x1,2019-01-01,26450,semi-auto,7835,diesel,150,60.1,2.0
2 series,2019-01-01,22480,semi-auto,5869,diesel,150,51.4,2.0
1 series,2019-01-01,17780,manual,7287,diesel,150,72.4,1.5
5 series,2019-01-01,26380,semi-auto,8257,petrol,150,50.4,2.0
x3,2015-01-01,19795,semi-auto,51451,diesel,200,47.1,3.0
5 series,2017-01-01,21720,automatic,26946,diesel,145,65.7,2.0
3 series,2013-01-01,7550,manual,78650,petrol,125,53.3,1.6
3 series,2016-01-01,19367,automatic,25666,diesel,160,51.4,3.0
x1,2016-01-01,18990,automatic,18604,diesel,145,55.4,2.0
1 series,2014-01-01,10970,automatic,26423,diesel,30,64.2,2.0
4 series,2018-01-01,21470,automatic,40553,petrol,145,41.5,3.0
5 series,2020-01-01,33980,semi-auto,1500,hybrid,135,156.9,2.0
4 series,2016-01-01,19880,semi-auto,34171,diesel,145,55.4,3.0
4 series,2018-01-01,21064,semi-auto,19447,diesel,145,65.7,2.0
